Bank,Assents,OwnCapital,IndFunds,NBSLoans,IndLoans
Синко-банк,3179,1429,502,1720,321
Сити Инвест банк,5382,1697,133,846,1158
Ситибанк,705146,60807,159105,180476,47961
СКБ-банк,95616,7426,54049,11020,11581
СКС,15709,1051,40,5904,0
Славянбанк,716,349,3,288,56
СМП,571338,54892,208910,158629,35438
Собинбанк,6562,3045,271,123,0
Совкомбанк,1576708,189239,445933,581215,317303
Солид-банк,8705,1713,4635,5009,1181
Социум-банк,2345,1080,650,586,58
СПб банк инвестиций,3985,1237,0,31,7
Спецстройбанк,876,423,183,306,125
ССБ,2726,1261,522,634,47
Ставрополь ПСБ,6941,852,2557,2985,404
Стройлесбанк,5127,1398,2168,3277,381
Сумитомо Мицуи Рус Банк,90550,17099,0,19524,0
Сургутнефтегазбанк,109395,13023,50375,38846,27947
СЭБ-банк,103636,5763,2,11898,42
Таганрогбанк,584,323,85,307,34
Тамбовкредитпромбанк,2688,522,1349,1129,157
Татсоцбанк,37933,8819,7495,12345,2763
Тексбанк,1734,571,409,924,66
Тендер-банк,3265,1209,1199,1907,1127
Тинькофф-банк,695794,123913,402334,349986,385757
Тойота-банк,76593,12580,1208,67265,66732
Тольяттихимбанк,13814,5417,1180,2118,887
Томскпромстройбанк,8959,1150,5925,6036,2055
Торжокуниверсалбанк,1566,369,351,390,23
Транскапиталбанк,181959,25098,67886,71432,19085
Трансстройбанк,7818,1169,3481,4569,649
УБРР,262611,18472,162463,68010,23542
Углеметбанк,8316,1303,3949,2093,815
Унифондбанк,3020,1976,0,1273,118
Уралпромбанк,3613,1144,1544,797,391
Уральский финансовый дом,23436,3005,14919,11152,7606
Ури-банк,28371,3165,228,6451,31
Финансбизнесбанк,13387,2320,2854,2788,111
Фольксваген Банк Рус,44961,14858,0,39052,35217
Фора-банк,63607,8540,33318,33616,3494
Форбанк,6617,732,3359,4014,369
Ффин-банк,18932,786,4846,37,38
Хакасский МБ,8646,1436,4754,5103,2172
ХКФ-банк,238192,64208,147583,169035,179027
Чайна Констракшн Банк,33569,6563,353,10082,253
Чайнасельхозбанк,13546,9980,0,4887,0
ЧБРР,7182,387,2980,664,188
Челиндбанк,55538,9574,32390,27148,12419
Челябинвестбанк,56055,9068,28587,20702,5210
Эйч-Эс-Би-Си Банк (РР),80693,12074,0,8800,0
Экономбанк,23161,-1509,15349,7835,763
Экси-банк,2173,820,189,415,142
Экспобанк,99359,17842,51824,57633,28321
Эм-Ю-Эф-Джи Банк (Евразия),82782,21759,0,21246,0
Энергобанк,18374,5637,6209,10688,2834
Энергомашбанк,17279,1964,12636,15970,113
Энерготрансбанк,56169,5782,8787,8464,2188
Эс-Би-Ай Банк,15185,6807,4304,8743,2611
Ю БИ ЭС Банк,7117,4164,0,43,0
Юг-Инвестбанк,12504,1431,7407,6637,2238
ЮМК,5024,2117,0,2585,235
Юникредит-банк,1315550,197369,267400,665780,170748
Яринтербанк,2820,362,1307,1732,221
