client,Recency,Frequency,Monetary,total_quantity,avg_check,total_unique_items,avg_items_per_visit,weekend_visits,amount_last_visit,relative_value_pct,event
client10139,259.0,3.0,6993.0,28.0,2331.0,10.0,9.333333333333334,3.0,55.0,0.17989308284985836,False
client1014,1.0,9.0,61482.0,202.0,6831.333333333333,63.0,22.444444444444443,24.0,74.0,1.5816082539360776,True
client10140,572.0,3.0,4293.0,33.0,1431.0,17.0,11.0,0.0,299.0,0.1104362941047393,False
client10141,395.0,1.0,5459.0,57.0,5459.0,6.0,57.0,0.0,447.0,0.1404313369480018,False
client10142,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
client10143,16.0,9.0,11692.0,38.0,1299.111111111111,24.0,4.222222222222222,9.0,279.0,0.3007736200029378,True
client10144,37.0,6.0,12758.0,39.0,2126.3333333333335,26.0,6.5,4.0,699.0,0.32819618918897364,True
client10145,21.0,19.0,122856.0,280.0,6466.105263157895,68.0,14.736842105263158,30.0,2899.0,3.1604382363223507,True
client10146,21.0,3.0,2898.0,34.0,966.0,21.0,11.333333333333334,3.0,91.0,0.07455028658642779,True
client10147,55.0,15.0,8086.0,91.0,539.0666666666667,39.0,6.066666666666666,10.0,108.0,0.20801021992334542,False
client10148,108.0,1.0,867.0,3.0,867.0,2.0,3.0,0.0,778.0,0.022303346608154896,False
client10149,27.0,1.0,440.0,3.0,440.0,3.0,3.0,0.0,116.0,0.011318884091797179,True
client1015,9.0,21.0,37246.0,216.0,1773.6190476190477,74.0,10.285714285714286,45.0,219.0,0.9581435383706313,False
client10150,183.0,3.0,3628.0,12.0,1209.3333333333333,11.0,4.0,1.0,1399.0,0.0933293442841822,False
client10151,9.0,1.0,3354.0,2.0,3354.0,2.0,2.0,0.0,3299.0,0.08628076646338122,False
client10152,125.0,4.0,16453.0,64.0,4113.25,13.0,16.0,2.0,66.0,0.4232490908234977,False
client10153,503.0,1.0,1598.0,2.0,1598.0,2.0,2.0,0.0,999.0,0.041108129042481574,False
client10154,88.0,5.0,4982.0,46.0,996.4,32.0,9.2,2.0,130.0,0.12816063760303079,True
client10155,8.0,5.0,39178.0,79.0,7835.6,24.0,15.8,11.0,899.0,1.0078437294282496,False
client10156,71.0,4.0,26950.0,32.0,6737.5,18.0,8.0,12.0,145.0,0.6932816506225772,False
client10157,284.0,2.0,6603.0,13.0,3301.5,8.0,6.5,0.0,509.0,0.16986043558667446,False
client10158,477.0,1.0,1008.0,20.0,1008.0,19.0,20.0,19.0,89.0,0.02593053446484445,False
client10159,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
